,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Gladiator'}),frozenset({'Sixth Sense'}),0.7,0.6,0.5,0.7142857142857143,1.1904761904761905,0.08000000000000002,1.4000000000000001
1,frozenset({'Sixth Sense'}),frozenset({'Gladiator'}),0.6,0.7,0.5,0.8333333333333334,1.1904761904761907,0.08000000000000002,1.8000000000000007
2,frozenset({'Sixth Sense'}),frozenset({'Patriot'}),0.6,0.6,0.4,0.6666666666666667,1.1111111111111114,0.040000000000000036,1.2000000000000004
3,frozenset({'Patriot'}),frozenset({'Sixth Sense'}),0.6,0.6,0.4,0.6666666666666667,1.1111111111111114,0.040000000000000036,1.2000000000000004
4,frozenset({'LOTR'}),frozenset({'Sixth Sense'}),0.1,0.6,0.1,1.0,1.6666666666666667,0.04000000000000001,inf
5,frozenset({'Sixth Sense'}),frozenset({'LOTR'}),0.6,0.1,0.1,0.16666666666666669,1.6666666666666667,0.04000000000000001,1.08
6,frozenset({'Sixth Sense'}),frozenset({'Green Mile'}),0.6,0.2,0.2,0.33333333333333337,1.6666666666666667,0.08000000000000002,1.2000000000000002
7,frozenset({'Green Mile'}),frozenset({'Sixth Sense'}),0.2,0.6,0.2,1.0,1.6666666666666667,0.08000000000000002,inf
8,frozenset({'Gladiator'}),frozenset({'Patriot'}),0.7,0.6,0.6,0.8571428571428572,1.4285714285714288,0.18,2.8000000000000016
9,frozenset({'Patriot'}),frozenset({'Gladiator'}),0.6,0.7,0.6,1.0,1.4285714285714286,0.18,inf
10,frozenset({'Gladiator'}),frozenset({'LOTR'}),0.7,0.1,0.1,0.14285714285714288,1.4285714285714286,0.030000000000000013,1.05
11,frozenset({'LOTR'}),frozenset({'Gladiator'}),0.1,0.7,0.1,1.0,1.4285714285714286,0.030000000000000013,inf
12,frozenset({'Gladiator'}),frozenset({'Braveheart'}),0.7,0.1,0.1,0.14285714285714288,1.4285714285714286,0.030000000000000013,1.05
13,frozenset({'Braveheart'}),frozenset({'Gladiator'}),0.1,0.7,0.1,1.0,1.4285714285714286,0.030000000000000013,inf
14,frozenset({'LOTR1'}),frozenset({'Harry Potter1'}),0.2,0.2,0.1,0.5,2.5,0.06,1.6
15,frozenset({'Harry Potter1'}),frozenset({'LOTR1'}),0.2,0.2,0.1,0.5,2.5,0.06,1.6
16,frozenset({'LOTR1'}),frozenset({'LOTR2'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
17,frozenset({'LOTR2'}),frozenset({'LOTR1'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
18,frozenset({'LOTR1'}),frozenset({'Green Mile'}),0.2,0.2,0.1,0.5,2.5,0.06,1.6
19,frozenset({'Green Mile'}),frozenset({'LOTR1'}),0.2,0.2,0.1,0.5,2.5,0.06,1.6
20,frozenset({'LOTR2'}),frozenset({'Harry Potter1'}),0.2,0.2,0.1,0.5,2.5,0.06,1.6
21,frozenset({'Harry Potter1'}),frozenset({'LOTR2'}),0.2,0.2,0.1,0.5,2.5,0.06,1.6
22,frozenset({'Harry Potter2'}),frozenset({'Harry Potter1'}),0.1,0.2,0.1,1.0,5.0,0.08,inf
23,frozenset({'Harry Potter1'}),frozenset({'Harry Potter2'}),0.2,0.1,0.1,0.5,5.0,0.08,1.8
24,frozenset({'Harry Potter1'}),frozenset({'Green Mile'}),0.2,0.2,0.1,0.5,2.5,0.06,1.6
25,frozenset({'Green Mile'}),frozenset({'Harry Potter1'}),0.2,0.2,0.1,0.5,2.5,0.06,1.6
26,frozenset({'Patriot'}),frozenset({'Braveheart'}),0.6,0.1,0.1,0.16666666666666669,1.6666666666666667,0.04000000000000001,1.08
27,frozenset({'Braveheart'}),frozenset({'Patriot'}),0.1,0.6,0.1,1.0,1.6666666666666667,0.04000000000000001,inf
